,Name,Year,Global_Sales
324,America's Army: True Soldiers,2007.0,0.08
325,America's Next Top Model,2008.0,0.1
326,America's Next Top Model,2010.0,0.08
327,America's Test Kitchen: Let's Get Cooking,2010.0,0.27
328,American Bass Challenge,2001.0,0.05
329,American Chopper,2004.0,0.57
330,American Chopper 2: Full Throttle,2005.0,0.27999999999999997
331,American Girl: Julie Finds a Way,2007.0,0.11
332,American Girl: Kit Mystery Challenge!,2008.0,0.46
333,American Idol,2003.0,0.77
334,Amnesia,2011.0,0.04
335,Amnesia Crowd,2013.0,0.05
336,Amnesia Later,2012.0,0.05
337,Amnesia Later,2014.0,0.01
338,Amped 2,2003.0,0.25
339,Amped 3,2005.0,0.16
340,Amped: Freestyle Snowboarding,2001.0,0.82
341,Amplitude,2003.0,0.18
342,An American Tail: Fievel's Gold Rush,2002.0,0.03
343,Anarchy Reigns,2012.0,0.38
344,And1 Streetball,2006.0,0.34
345,Andretti Racing,1996.0,0.77
346,Angel Blade: Neo Tokyo Guardians,1997.0,0.21
347,Angelique Duet,1998.0,0.04
348,Angelique Retour,2015.0,0.02
349,Angelique Trois,2000.0,0.06
350,Angelique: Maren no Rokukishi,2011.0,0.03
351,Angler's Club: Ultimate Bass Fishing 3D,2011.0,0.03
352,Angry Birds,2011.0,0.24
353,Angry Birds Star Wars,2013.0,1.9000000000000001
354,Angry Birds Trilogy,2012.0,1.06
355,Angry Birds: Rio,2011.0,0.09
356,AniMates!,2007.0,0.03
357,Anima - Gate of Memories,2016.0,0.02
358,Animal Crossing,2001.0,3.15
359,Animal Crossing: Amiibo Festival,2015.0,0.42
360,Animal Crossing: City Folk,2008.0,4.68
361,Animal Crossing: Happy Home Designer,2015.0,2.98
362,Animal Crossing: New Leaf,2012.0,9.09
363,Animal Crossing: Wild World,2005.0,12.27
364,Animal Genius,2007.0,0.12
365,Animal Kingdom: Wildlife Expedition,2009.0,0.08
366,Animal Paradise,2007.0,0.25
367,Animal Planet: Emergency Vets,2009.0,0.08
368,Animal Planet: Vet Collection,2010.0,0.05
369,Animal Planet: Vet Life,2009.0,0.21000000000000002
370,Animaniacs Ten Pin Alley,1998.0,0.66
371,Animaniacs: The Great Edgar Hunt,2005.0,0.03
372,Animorphs: Shattered Reality,2000.0,0.06
373,Anno 1701: Dawn of Discovery,2007.0,0.14
374,Anno 2070,2011.0,1.45
375,Anno 2205,2015.0,0.25
376,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,2012.0,0.02
377,Another Code R: A Journey into Lost Memories,2009.0,0.06
378,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,2016.0,0.06
379,Ant Nation,2009.0,0.07
380,Antiphona no Seikahime: Tenshi no Gakufu Op.A,2009.0,0.02
381,Antz Extreme Racing,2002.0,0.06
382,Anubis II,2007.0,0.07
383,Ao no Exorcist: Genkoku no Labyrinth,2012.0,0.04
384,Ao no Kanata no Four Rhythm,2016.0,0.03
385,Aoishiro,2008.0,0.02
386,Apache: Air Assault,2010.0,0.42000000000000004
387,Apassionata: Die Galanacht der Pferde,2009.0,0.05
388,Ape Escape,1999.0,1.63
389,Ape Escape,2010.0,0.05
390,Ape Escape 2,2002.0,0.63
391,Ape Escape 3,2005.0,0.13
392,Ape Escape Academy,2004.0,0.33
393,Ape Escape Academy (jp sales),2004.0,0.14
394,Ape Escape: On the Loose,2005.0,0.7
395,Ape Escape: Pumped & Primed,2004.0,0.08
396,Apex,2003.0,0.14
397,Apocalypse,1998.0,0.45
398,Apollo Justice: Ace Attorney,2007.0,1.06
399,Aqua Aqua,2000.0,0.11
400,Aqua Panic!,2009.0,0.02
401,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007.0,0.07
402,Aquaman: Battle for Atlantis,2003.0,0.01
403,Aquanaut's Holiday,1995.0,0.02
